date,AAPL,GOOGL,AMZN,MSFT,META,fed_rate
2017-07-11,139.56450656512158,180.0642124618428,322.2254775218538,159.84182804617848,197.92226127352285,1.15
2017-07-12,139.76594681485898,182.73249272009883,326.2381800733253,162.49101546428886,202.54940586328848,1.15
2017-07-13,141.71275096143728,182.95720147320853,324.33231513688156,163.90699651803376,203.0082722586369,1.15
2017-07-14,142.93063977561948,184.479262268482,324.714774032782,166.21352216150302,203.91330232273668,1.15
2017-07-17,143.42931742521964,184.2998468046732,327.38234198949726,167.51535296839083,203.60739792682878,1.15
2017-07-18,143.92801082833896,186.37523238595114,332.05303408591345,167.40116435170285,207.5971910507723,1.15
2017-07-19,144.82950596333714,187.4742701287125,332.8374136099702,168.68006918464204,209.22880531444443,1.15
2017-07-20,144.17738903693694,187.3647266089504,333.43058841508866,169.50227710557564,209.72591711039632,1.15
2017-07-21,144.11024753819757,187.67631771078013,332.44847571298845,168.5202204692112,209.5984781819889,1.15
2017-07-24,145.85561143503847,188.52041727931723,336.75288168719624,168.0863344216616,211.59974571023236,1.15
2017-07-25,146.47894668189926,182.99120775616348,337.0510888400258,169.43369103288418,210.68195411061606,1.15
2017-07-26,147.16953370213372,182.28871145385648,341.24206283728444,169.1139744171071,211.10265351725363,1.15
2017-07-27,144.38836016577744,179.87159250798445,339.0379907480112,167.0814093660949,217.25939849845147,1.15
2017-07-28,143.3717855731792,180.97061572435416,330.62362301907484,166.80735284906066,219.8215266913102,1.15
2017-07-31,142.63338662223754,178.54781695932988,320.16725714394886,166.03082421178533,215.74252043658956,1.15
2017-08-01,143.89924490231874,178.74797611047728,322.8931855684208,165.7568636193283,216.5200919693088,1.16
2017-08-02,150.69862131501557,178.95192664985672,322.7959263651636,165.02603345062673,215.8062300993067,1.16
2017-08-03,149.19304173359288,177.56583288083624,319.88851172337536,164.77478779804846,214.9012196381801,1.16
2017-08-04,149.97936288987597,178.6025669296234,320.1024424041224,165.98516411304252,216.21414836745458,1.16
2017-08-07,152.30013982823627,178.5950277323344,321.62258421511325,165.3457116965729,219.22244022906466,1.16
2017-08-08,153.51809165649516,178.3004325087863,320.83496519051573,166.23644813545164,218.26642283181806,1.16
2017-08-09,154.45797811773173,177.52430192698395,318.2970267134532,165.50557959691915,218.20265436018153,1.16
2017-08-10,149.53816983175872,174.41033744517375,310.1646686346427,163.0847885971002,213.38430237037193,1.16
2017-08-11,151.61777614501304,175.63780301689914,313.7527740541725,165.57408892994886,214.25114584278768,1.16
2017-08-14,153.8995158628486,177.30713237116325,318.71516957332506,168.06342763262845,217.65455523108278,1.16
2017-08-15,155.58437049252433,177.14660121655626,318.53365862699707,168.10931795035654,217.97322116250726,1.16
2017-08-16,154.95856194315246,178.31553995614772,317.0556303230357,169.09653532897383,216.69853783383618,1.16
2017-08-17,151.98360436737963,175.17892882968707,311.34772928631526,166.22664464366275,212.7597320430395,1.16
2017-08-18,151.636995438411,174.89942652710872,310.6670632375853,166.43330455276268,213.39706390588847,1.16
