date,sp500,sp500_norm,fed_rate
2016-05-27,2099.06005859375,101.98523507876922,0.37
2016-05-31,2096.949951171875,101.882713094903,0.37
2016-06-01,2099.330078125,101.99835428670119,0.38
2016-06-02,2105.260009765625,102.28646680158337,0.38
2016-06-03,2099.1298828125,101.98862756834295,0.38
2016-06-06,2109.409912109375,102.48809455603877,0.38
2016-06-07,2112.1298828125,102.62024744534266,0.38
2016-06-08,2119.1201171875,102.95987598196857,0.38
2016-06-09,2115.47998046875,102.78301577377171,0.38
2016-06-10,2096.070068359375,101.83996298153335,0.38
2016-06-13,2079.06005859375,101.01351219107735,0.38
2016-06-14,2075.320068359375,100.83180048555303,0.38
2016-06-15,2071.5,100.64619809268542,0.38
2016-06-16,2077.989990234375,100.96152169526738,0.38
2016-06-17,2071.219970703125,100.63259254883555,0.38
2016-06-20,2083.25,101.21708528920439,0.38
2016-06-21,2088.89990234375,101.4915922602367,0.38
2016-06-22,2085.449951171875,101.32397243448017,0.38
2016-06-23,2113.320068359375,102.6780739721676,0.38
2016-06-24,2037.4100341796875,98.98989809127386,0.38
2016-06-27,2000.5400390625,97.19852718505093,0.38
2016-06-28,2036.0899658203125,98.92576105936773,0.38
2016-06-29,2070.77001953125,100.6107311562328,0.38
2016-06-30,2098.860107421875,101.97552022226265,0.38
2016-07-01,2102.949951171875,102.17422996121056,0.39
2016-07-05,2088.550048828125,101.47459422681307,0.39
2016-07-06,2099.72998046875,102.01778399971437,0.39
2016-07-07,2097.89990234375,101.92886755969803,0.39
2016-07-08,2129.89990234375,103.48362418000502,0.39
2016-07-11,2137.159912109375,103.83636006271124,0.39
2016-07-12,2152.139892578125,104.56417955664432,0.39
2016-07-13,2152.429931640625,104.57827143641212,0.39
2016-07-14,2163.75,105.12826991216417,0.39
2016-07-15,2161.739990234375,105.03061128747709,0.39
2016-07-18,2166.889892578125,105.28082518631707,0.39
2016-07-19,2163.780029296875,105.12972891991792,0.39
2016-07-20,2173.02001953125,105.5786644195575,0.39
2016-07-21,2165.169921875,105.19725844139778,0.39
2016-07-22,2175.030029296875,105.6763230442446,0.39
2016-07-25,2168.47998046875,105.35808142615517,0.39
2016-07-26,2169.179931640625,105.39208935485405,0.39
2016-07-27,2166.580078125,105.2657724965651,0.39
2016-07-28,2170.06005859375,105.43485133007535,0.39
2016-07-29,2173.60009765625,105.60684817909309,0.39
2016-08-01,2170.840087890625,105.47274994611755,0.4
2016-08-02,2157.030029296875,104.80177244532189,0.4
2016-08-03,2163.7900390625,105.13021525583581,0.4
2016-08-04,2164.25,105.15256298435646,0.4
2016-08-05,2182.8701171875,106.0572426864864,0.4
2016-08-08,2180.889892578125,105.96103120770137,0.4
2016-08-09,2181.739990234375,106.00233417516895,0.4
2016-08-10,2175.489990234375,105.69867077276524,0.4
2016-08-11,2185.7900390625,106.19911043229689,0.4
2016-08-12,2184.050048828125,106.11457101554176,0.4
2016-08-15,2190.14990234375,106.41093937917678,0.4
2016-08-16,2178.14990234375,105.82790564656166,0.4
2016-08-17,2182.219970703125,106.02565457552542,0.4
2016-08-18,2187.02001953125,106.2588704409418,0.4
2016-08-19,2183.8701171875,106.10582883087099,0.4
2016-08-22,2182.639892578125,106.04605696037441,0.4
2016-08-23,2186.89990234375,106.25303440992685,0.4
2016-08-24,2175.43994140625,105.69623909317568,0.4
2016-08-25,2172.469970703125,105.55193966777563,0.4
2016-08-26,2169.0400390625,105.38529251385494,0.4
2016-08-29,2180.3798828125,105.93625179959116,0.4
2016-08-30,2176.1201171875,105.7292862118904,0.4
2016-08-31,2170.949951171875,105.47808777936292,0.4
2016-09-01,2170.860107421875,105.47372261795336,0.4
2016-09-02,2179.97998046875,105.916822086578,0.4
2016-09-06,2186.47998046875,106.23263202507785,0.4
2016-09-07,2186.159912109375,106.21708113755632,0.4
2016-09-08,2181.300048828125,105.98095911848414,0.4
2016-09-09,2127.81005859375,103.38208672982627,0.4
2016-09-12,2159.0400390625,104.899431070009,0.4
